,Elo Rating
Max Verstappen,1914.1940670789872
Lando Norris,1774.303456954009
Nico Rosberg,1763.660895022663
Lewis Hamilton,1755.3326957696795
Charles Leclerc,1755.294766530781
Carlos Sainz,1716.0324568054627
George Russell,1711.8054111767508
Oscar Piastri,1690.9824442740355
Sergio Perez,1660.8587642626285
Sergio Pérez,1608.0637900632905
Fernando Alonso,1593.5293259057516
Sebastian Vettel,1559.8531386233578
Felipe Massa,1546.2250727502792
Pierre Gasly,1523.4892880547293
Esteban Ocon,1517.8917208571097
Oliver Bearman,1515.1812569852384
Daniel Ricciardo,1515.1229808648093
Lance Stroll,1511.2763252257294
Andrea Kimi Antonelli,1511.1390604763237
Kimi Antonelli,1508.6250832294345
Daniil Kvyat,1506.9635498102214
Nico Hulkenberg,1506.10405794211
Kimi Räikkönen,1498.3349252488983
Gabriel Bortoleto,1494.7348270702742
Jack Aitken,1494.7045125909165
Liam Lawson,1494.165048429044
Isack Hadjar,1493.5689934367629
Nico Hülkenberg,1492.961286385062
Paul di Resta,1491.6331234612258
Jack Doohan,1489.5933637805526
Franco Colapinto,1489.5584584511605
André Lotterer,1488.133887939292
Pietro Fittipaldi,1485.0536570641132
Alexander Albon,1483.8402307635106
Jean-Éric Vergne,1478.7255153889548
Alexander Rossi,1475.265678758118
Yuki Tsunoda,1466.4344322359484
Nyck De Vries,1465.7258367073532
Jenson Button,1456.84580863819
Stoffel Vandoorne,1454.2909499863288
Antonio Giovinazzi,1445.905189726477
Valtteri Bottas,1444.091760557809
Roberto Merhi,1439.619552104847
Jules Bianchi,1433.3125051272593
Felipe Nasr,1429.104990122319
Kevin Magnussen,1428.8372384194524
Rio Haryanto,1428.3518431418781
Brendon Hartley,1428.254044789051
Sergey Sirotkin,1424.6536520828793
Jolyon Palmer,1421.34634422388
Pastor Maldonado,1419.8946595882953
Max Chilton,1417.3269553676
Guanyu Zhou,1415.9631382531916
Esteban Gutiérrez,1414.8174556547694
Adrian Sutil,1413.498106593912
Mick Schumacher,1412.9884183361653
Kamui Kobayashi,1411.601953773654
Will Stevens,1401.977852978813
Marcus Ericsson,1400.537169438277
Romain Grosjean,1398.7187600982318
Robert Kubica,1398.202062486745
Logan Sargeant,1392.2928664698527
Pascal Wehrlein,1391.9771916207123
Nikita Mazepin,1389.3339879694638
Nicholas Latifi,1367.672327087254
